Round,Avg_Train_Loss,Val_Loss,F1_Score,Accuracy,Balanced_Acc,Confusion_Matrix,Balanced_F1,Balanced_Acc,Classification_Report,Model
1,1.8509913696085707,0.6433906493248878,0.45780520009835657,0.8400813835198372,0.5006353240152478,"[[4128, 0], [786, 1]]",0.33555171178656695,0.501,"              precision    recall  f1-score   support

           0       0.84      1.00      0.91      4128
           1       1.00      0.00      0.00       787

    accuracy                           0.84      4915
   macro avg       0.92      0.50      0.46      4915
weighted avg       0.87      0.84      0.77      4915
",DEEPNN
2,1.3901556091326657,0.6408441918236869,0.4675049055840065,0.8396744659206511,0.5045066758271525,"[[4118, 10], [778, 9]]",0.35086867492769835,0.508,"              precision    recall  f1-score   support

           0       0.84      1.00      0.91      4128
           1       0.47      0.01      0.02       787

    accuracy                           0.84      4915
   macro avg       0.66      0.50      0.47      4915
weighted avg       0.78      0.84      0.77      4915
",DEEPNN
3,1.0133431775761501,0.6504549430562304,0.5231498537724231,0.8474059003051883,0.5332767882647282,"[[4109, 19], [731, 56]]",0.4126292342821109,0.538,"              precision    recall  f1-score   support

           0       0.85      1.00      0.92      4128
           1       0.75      0.07      0.13       787

    accuracy                           0.85      4915
   macro avg       0.80      0.53      0.52      4915
weighted avg       0.83      0.85      0.79      4915
",DEEPNN
4,0.8807780014191356,0.6804346240960158,0.7584839657700637,0.8549338758901323,0.790744769658107,"[[3654, 474], [239, 548]]",0.78699584389521,0.7889999999999999,"              precision    recall  f1-score   support

           0       0.94      0.89      0.91      4128
           1       0.54      0.70      0.61       787

    accuracy                           0.85      4915
   macro avg       0.74      0.79      0.76      4915
weighted avg       0.87      0.85      0.86      4915
",DEEPNN
5,0.824647975564003,0.7050043027122299,0.16535253102356057,0.18128179043743642,0.5115684992563262,"[[106, 4022], [2, 785]]",0.35634498335804393,0.509,"              precision    recall  f1-score   support

           0       0.98      0.03      0.05      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.18      4915
   macro avg       0.57      0.51      0.17      4915
weighted avg       0.85      0.18      0.09      4915
",DEEPNN
6,0.8429429906335744,0.7019932223604871,0.1954560181180504,0.20590030518819938,0.5267387069925041,"[[226, 3902], [1, 786]]",0.3981889328225195,0.53,"              precision    recall  f1-score   support

           0       1.00      0.05      0.10      4128
           1       0.17      1.00      0.29       787

    accuracy                           0.21      4915
   macro avg       0.58      0.53      0.20      4915
weighted avg       0.86      0.21      0.13      4915
",DEEPNN
7,0.7058405592523772,0.7211667121230781,0.14280036581726857,0.16378433367243134,0.5021802325581395,"[[18, 4110], [0, 787]]",0.33776243490656865,0.502,"              precision    recall  f1-score   support

           0       1.00      0.00      0.01      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
8,0.7154522284462645,0.7041517658667131,0.18603891840330122,0.19816887080366224,0.5226501937984496,"[[187, 3941], [0, 787]]",0.3845549142514326,0.524,"              precision    recall  f1-score   support

           0       1.00      0.05      0.09      4128
           1       0.17      1.00      0.29       787

    accuracy                           0.20      4915
   macro avg       0.58      0.52      0.19      4915
weighted avg       0.87      0.20      0.12      4915
",DEEPNN
9,0.66799147354705,0.6908161214419773,0.419156751196947,0.4262461851475076,0.6527740327314993,"[[1319, 2809], [11, 776]]",0.632022287665187,0.669,"              precision    recall  f1-score   support

           0       0.99      0.32      0.48      4128
           1       0.22      0.99      0.35       787

    accuracy                           0.43      4915
   macro avg       0.60      0.65      0.42      4915
weighted avg       0.87      0.43      0.46      4915
",DEEPNN
10,0.6923711066284488,0.6829826328661535,0.5611218461888193,0.5981688708036622,0.7448398392482491,"[[2184, 1944], [31, 756]]",0.7490626291780812,0.759,"              precision    recall  f1-score   support

           0       0.99      0.53      0.69      4128
           1       0.28      0.96      0.43       787

    accuracy                           0.60      4915
   macro avg       0.63      0.74      0.56      4915
weighted avg       0.87      0.60      0.65      4915
",DEEPNN
11,0.6826947111996912,0.6658253313659074,0.830940555198744,0.9019328585961343,0.8578036196231396,"[[3809, 319], [163, 624]]",0.8552071141571245,0.8560000000000001,"              precision    recall  f1-score   support

           0       0.96      0.92      0.94      4128
           1       0.66      0.79      0.72       787

    accuracy                           0.90      4915
   macro avg       0.81      0.86      0.83      4915
weighted avg       0.91      0.90      0.91      4915
",DEEPNN
12,0.67693374652055,0.6607305554600506,0.8377353628697539,0.9123092573753815,0.8392993459610137,"[[3908, 220], [211, 576]]",0.831735837428437,0.834,"              precision    recall  f1-score   support

           0       0.95      0.95      0.95      4128
           1       0.72      0.73      0.73       787

    accuracy                           0.91      4915
   macro avg       0.84      0.84      0.84      4915
weighted avg       0.91      0.91      0.91      4915
",DEEPNN
13,0.7083015586016699,0.6620432138442993,0.8239644351296056,0.891353001017294,0.8751583692857776,"[[3711, 417], [117, 670]]",0.8808540462066031,0.881,"              precision    recall  f1-score   support

           0       0.97      0.90      0.93      4128
           1       0.62      0.85      0.72       787

    accuracy                           0.89      4915
   macro avg       0.79      0.88      0.82      4915
weighted avg       0.91      0.89      0.90      4915
",DEEPNN
14,0.6330166446105128,0.6593874553581337,0.8194564924707664,0.8842319430315361,0.886859227711947,"[[3645, 483], [86, 701]]",0.8889998889998889,0.889,"              precision    recall  f1-score   support

           0       0.98      0.88      0.93      4128
           1       0.59      0.89      0.71       787

    accuracy                           0.88      4915
   macro avg       0.78      0.89      0.82      4915
weighted avg       0.92      0.88      0.89      4915
",DEEPNN
