Round,Avg_Train_Loss,Val_Loss,F1_Score,Accuracy,Balanced_Acc,Confusion_Matrix,Balanced_F1,Balanced_Acc,Classification_Report,Model
1,2.8268772004837435,0.6177362366156145,0.53541329525015,0.844354018311292,0.5391729275632123,"[[4079, 49], [716, 71]]",0.4270511568584468,0.54,"              precision    recall  f1-score   support

           0       0.85      0.99      0.91      4128
           1       0.59      0.09      0.16       787

    accuracy                           0.84      4915
   macro avg       0.72      0.54      0.54      4915
weighted avg       0.81      0.84      0.79      4915
",RESIDUALNN
2,1.9284862894564867,0.571750047919038,0.5569023734592184,0.8522889114954222,0.552638164504595,"[[4101, 27], [699, 88]]",0.46035453967502993,0.562,"              precision    recall  f1-score   support

           0       0.85      0.99      0.92      4128
           1       0.77      0.11      0.20       787

    accuracy                           0.85      4915
   macro avg       0.81      0.55      0.56      4915
weighted avg       0.84      0.85      0.80      4915
",RESIDUALNN
3,1.6052380733990244,0.5324704112944665,0.5450758978156238,0.8522889114954222,0.5459535647094746,"[[4114, 14], [712, 75]]",0.4488342782777253,0.557,"              precision    recall  f1-score   support

           0       0.85      1.00      0.92      4128
           1       0.84      0.10      0.17       787

    accuracy                           0.85      4915
   macro avg       0.85      0.55      0.55      4915
weighted avg       0.85      0.85      0.80      4915
",RESIDUALNN
4,1.3486097732558848,0.5155965047223228,0.575025359502032,0.8581892166836216,0.5638637611674202,"[[4115, 13], [684, 103]]",0.4813119755911518,0.575,"              precision    recall  f1-score   support

           0       0.86      1.00      0.92      4128
           1       0.89      0.13      0.23       787

    accuracy                           0.86      4915
   macro avg       0.87      0.56      0.58      4915
weighted avg       0.86      0.86      0.81      4915
",RESIDUALNN
5,1.1615741980029268,0.5128929332479254,0.6175767228739133,0.8663275686673448,0.5913335217142913,"[[4111, 17], [640, 147]]",0.5230726963281355,0.599,"              precision    recall  f1-score   support

           0       0.87      1.00      0.93      4128
           1       0.90      0.19      0.31       787

    accuracy                           0.87      4915
   macro avg       0.88      0.59      0.62      4915
weighted avg       0.87      0.87      0.83      4915
",RESIDUALNN
6,1.07522793849175,0.5086533175660418,0.6365114509622237,0.8708036622583927,0.6042822500812624,"[[4113, 15], [620, 167]]",0.5440679479767427,0.612,"              precision    recall  f1-score   support

           0       0.87      1.00      0.93      4128
           1       0.92      0.21      0.34       787

    accuracy                           0.87      4915
   macro avg       0.89      0.60      0.64      4915
weighted avg       0.88      0.87      0.83      4915
",RESIDUALNN
7,0.9511284364154563,0.5231419612060894,0.674677385447755,0.8775178026449644,0.6334751423322794,"[[4097, 31], [571, 216]]",0.5839784723185235,0.637,"              precision    recall  f1-score   support

           0       0.88      0.99      0.93      4128
           1       0.87      0.27      0.42       787

    accuracy                           0.88      4915
   macro avg       0.88      0.63      0.67      4915
weighted avg       0.88      0.88      0.85      4915
",RESIDUALNN
8,0.9512182204114894,0.5386445661643883,0.7323210662997615,0.8911495422177009,0.6832406511332407,"[[4083, 45], [490, 297]]",0.6513542020645127,0.6839999999999999,"              precision    recall  f1-score   support

           0       0.89      0.99      0.94      4128
           1       0.87      0.38      0.53       787

    accuracy                           0.89      4915
   macro avg       0.88      0.68      0.73      4915
weighted avg       0.89      0.89      0.87      4915
",RESIDUALNN
9,0.8646124688360621,0.5361593342446661,0.765322006535792,0.9009155645981689,0.714250403849374,"[[4082, 46], [441, 346]]",0.6840524668336521,0.709,"              precision    recall  f1-score   support

           0       0.90      0.99      0.94      4128
           1       0.88      0.44      0.59       787

    accuracy                           0.90      4915
   macro avg       0.89      0.71      0.77      4915
weighted avg       0.90      0.90      0.89      4915
",RESIDUALNN
10,0.7996272052413432,0.5493578461857586,0.8226458807269235,0.9165818921668362,0.7842525523772939,"[[4041, 87], [323, 464]]",0.7679961630934955,0.7769999999999999,"              precision    recall  f1-score   support

           0       0.93      0.98      0.95      4128
           1       0.84      0.59      0.69       787

    accuracy                           0.92      4915
   macro avg       0.88      0.78      0.82      4915
weighted avg       0.91      0.92      0.91      4915
",RESIDUALNN
