Round,Avg_Train_Loss,Val_Loss,F1_Score,Accuracy,Balanced_Acc,Confusion_Matrix,Balanced_F1,Balanced_Acc,Classification_Report,Model
1,1.0912189072042797,0.8735999658510283,0.3807409629518524,0.3847405900305188,0.6136671308471973,"[[1143, 2985], [39, 748]]",0.5610302956629794,0.61,"              precision    recall  f1-score   support

           0       0.97      0.28      0.43      4128
           1       0.20      0.95      0.33       787

    accuracy                           0.38      4915
   macro avg       0.58      0.61      0.38      4915
weighted avg       0.84      0.38      0.41      4915
",TRANSFORMERNN
2,0.8311812380327421,0.8888381224174005,0.37406376988548606,0.37660223804679555,0.6196203692759277,"[[1082, 3046], [18, 769]]",0.5679335649148302,0.623,"              precision    recall  f1-score   support

           0       0.98      0.26      0.41      4128
           1       0.20      0.98      0.33       787

    accuracy                           0.38      4915
   macro avg       0.59      0.62      0.37      4915
weighted avg       0.86      0.38      0.40      4915
",TRANSFORMERNN
3,0.663846064437778,0.8846288393070172,0.39436101465898665,0.39837232960325536,0.6377226404361573,"[[1179, 2949], [8, 779]]",0.598288596261934,0.645,"              precision    recall  f1-score   support

           0       0.99      0.29      0.44      4128
           1       0.21      0.99      0.35       787

    accuracy                           0.40      4915
   macro avg       0.60      0.64      0.39      4915
weighted avg       0.87      0.40      0.43      4915
",TRANSFORMERNN
4,0.5386214785746448,0.8344220193949613,0.4487427131013223,0.4600203458799593,0.6744232218315062,"[[1482, 2646], [8, 779]]",0.64828137490008,0.681,"              precision    recall  f1-score   support

           0       0.99      0.36      0.53      4128
           1       0.23      0.99      0.37       787

    accuracy                           0.46      4915
   macro avg       0.61      0.67      0.45      4915
weighted avg       0.87      0.46      0.50      4915
",TRANSFORMERNN
5,0.4875629115693701,0.7773559256033464,0.4861911283695599,0.5049847405900305,0.6970780328102992,"[[1711, 2417], [16, 771]]",0.6888160041175349,0.711,"              precision    recall  f1-score   support

           0       0.99      0.41      0.58      4128
           1       0.24      0.98      0.39       787

    accuracy                           0.50      4915
   macro avg       0.62      0.70      0.49      4915
weighted avg       0.87      0.50      0.55      4915
",TRANSFORMERNN
6,0.4706682317858899,0.8059764690213389,0.474794204964754,0.49053916581892165,0.6931060264669089,"[[1631, 2497], [7, 780]]",0.6776315502873,0.704,"              precision    recall  f1-score   support

           0       1.00      0.40      0.57      4128
           1       0.24      0.99      0.38       787

    accuracy                           0.49      4915
   macro avg       0.62      0.69      0.47      4915
weighted avg       0.87      0.49      0.54      4915
",TRANSFORMERNN
7,0.44525855925758917,0.793537231234761,0.4911880432552702,0.5104781281790437,0.7029193815687086,"[[1733, 2395], [11, 776]]",0.7061347061347061,0.726,"              precision    recall  f1-score   support

           0       0.99      0.42      0.59      4128
           1       0.24      0.99      0.39       787

    accuracy                           0.51      4915
   macro avg       0.62      0.70      0.49      4915
weighted avg       0.87      0.51      0.56      4915
",TRANSFORMERNN
8,0.4104399236591366,0.7765552478951293,0.5068832938440041,0.5296032553407934,0.7132766405149572,"[[1829, 2299], [13, 774]]",0.7126040741844739,0.731,"              precision    recall  f1-score   support

           0       0.99      0.44      0.61      4128
           1       0.25      0.98      0.40       787

    accuracy                           0.53      4915
   macro avg       0.62      0.71      0.51      4915
weighted avg       0.87      0.53      0.58      4915
",TRANSFORMERNN
9,0.40641135420585145,0.835952116297437,0.488306926522296,0.5072227873855544,0.6999529971041045,"[[1719, 2409], [13, 774]]",0.7015104857863159,0.722,"              precision    recall  f1-score   support

           0       0.99      0.42      0.59      4128
           1       0.24      0.98      0.39       787

    accuracy                           0.51      4915
   macro avg       0.62      0.70      0.49      4915
weighted avg       0.87      0.51      0.56      4915
",TRANSFORMERNN
10,0.36791402830217673,0.7938857937788034,0.5166162153331795,0.5414038657171922,0.7203018343134069,"[[1887, 2241], [13, 774]]",0.7223330407723609,0.739,"              precision    recall  f1-score   support

           0       0.99      0.46      0.63      4128
           1       0.26      0.98      0.41       787

    accuracy                           0.54      4915
   macro avg       0.62      0.72      0.52      4915
weighted avg       0.88      0.54      0.59      4915
",TRANSFORMERNN
