Round,Avg_Train_Loss,Val_Loss,F1_Score,Accuracy,Balanced_Acc,Confusion_Matrix,Balanced_F1,Balanced_Acc,Classification_Report,Model
1,1.2503297732722374,1.3774179622724458,0.19834160325301894,0.20386571719226856,0.48387726795898467,"[[297, 3831], [82, 705]]",0.3837806696736225,0.493,"              precision    recall  f1-score   support

           0       0.78      0.07      0.13      4128
           1       0.16      0.90      0.26       787

    accuracy                           0.20      4915
   macro avg       0.47      0.48      0.20      4915
weighted avg       0.68      0.20      0.15      4915
",TRANSFORMERNN
2,0.9603755924436782,1.2911082490698083,0.20217832669276836,0.20834181078331637,0.4983685962786758,"[[296, 3832], [59, 728]]",0.3939393939393939,0.506,"              precision    recall  f1-score   support

           0       0.83      0.07      0.13      4128
           1       0.16      0.93      0.27       787

    accuracy                           0.21      4915
   macro avg       0.50      0.50      0.20      4915
weighted avg       0.73      0.21      0.15      4915
",TRANSFORMERNN
3,0.8247600572804611,1.2436015033102654,0.2163272385467721,0.22136317395727365,0.5128051340582922,"[[347, 3781], [46, 741]]",0.40367944566829794,0.516,"              precision    recall  f1-score   support

           0       0.88      0.08      0.15      4128
           1       0.16      0.94      0.28       787

    accuracy                           0.22      4915
   macro avg       0.52      0.51      0.22      4915
weighted avg       0.77      0.22      0.17      4915
",TRANSFORMERNN
4,0.7307882759077797,1.2783930038476918,0.2018002567637994,0.20976602238046796,0.5161850639756509,"[[270, 3858], [26, 761]]",0.3948094530511795,0.519,"              precision    recall  f1-score   support

           0       0.91      0.07      0.12      4128
           1       0.16      0.97      0.28       787

    accuracy                           0.21      4915
   macro avg       0.54      0.52      0.20      4915
weighted avg       0.79      0.21      0.15      4915
",TRANSFORMERNN
5,0.737524259040753,1.1844972457204546,0.22089514279758182,0.2264496439471007,0.5276598344710066,"[[349, 3779], [23, 764]]",0.4113905305108405,0.529,"              precision    recall  f1-score   support

           0       0.94      0.08      0.16      4128
           1       0.17      0.97      0.29       787

    accuracy                           0.23      4915
   macro avg       0.55      0.53      0.22      4915
weighted avg       0.81      0.23      0.18      4915
",TRANSFORMERNN
6,0.6683574301855905,1.1368813832084854,0.23580085252649954,0.23987792472024416,0.5382250204387183,"[[410, 3718], [18, 769]]",0.4201814271018423,0.535,"              precision    recall  f1-score   support

           0       0.96      0.10      0.18      4128
           1       0.17      0.98      0.29       787

    accuracy                           0.24      4915
   macro avg       0.56      0.54      0.24      4915
weighted avg       0.83      0.24      0.20      4915
",TRANSFORMERNN
7,0.6527813849124041,1.15367069569501,0.23561608982498766,0.23987792472024416,0.5402818203756784,"[[406, 3722], [14, 773]]",0.42328145363033093,0.538,"              precision    recall  f1-score   support

           0       0.97      0.10      0.18      4128
           1       0.17      0.98      0.29       787

    accuracy                           0.24      4915
   macro avg       0.57      0.54      0.24      4915
weighted avg       0.84      0.24      0.20      4915
",TRANSFORMERNN
8,0.6081723126611023,1.1525566392130666,0.2371179296132747,0.24130213631739572,0.5421580885612127,"[[411, 3717], [12, 775]]",0.42516911375042865,0.539,"              precision    recall  f1-score   support

           0       0.97      0.10      0.18      4128
           1       0.17      0.98      0.29       787

    accuracy                           0.24      4915
   macro avg       0.57      0.54      0.24      4915
weighted avg       0.84      0.24      0.20      4915
",TRANSFORMERNN
9,0.6421086484735662,1.0618304107096288,0.270628758657874,0.27202441505595115,0.5609620172276233,"[[561, 3567], [11, 776]]",0.45708056409697057,0.5569999999999999,"              precision    recall  f1-score   support

           0       0.98      0.14      0.24      4128
           1       0.18      0.99      0.30       787

    accuracy                           0.27      4915
   macro avg       0.58      0.56      0.27      4915
weighted avg       0.85      0.27      0.25      4915
",TRANSFORMERNN
10,0.6141892843161311,1.091831697272016,0.26509694747112567,0.2669379450661241,0.5594765164051496,"[[533, 3595], [8, 779]]",0.45412699661657097,0.556,"              precision    recall  f1-score   support

           0       0.99      0.13      0.23      4128
           1       0.18      0.99      0.30       787

    accuracy                           0.27      4915
   macro avg       0.58      0.56      0.27      4915
weighted avg       0.86      0.27      0.24      4915
",TRANSFORMERNN
11,0.5854704464621404,1.0075341764982644,0.32446977803522037,0.32451678535096645,0.5927262172118632,"[[818, 3310], [10, 777]]",0.5047619047619047,0.584,"              precision    recall  f1-score   support

           0       0.99      0.20      0.33      4128
           1       0.19      0.99      0.32       787

    accuracy                           0.32      4915
   macro avg       0.59      0.59      0.32      4915
weighted avg       0.86      0.32      0.33      4915
",TRANSFORMERNN
12,0.5497749918699265,1.0231427743837431,0.35676502786624203,0.35788402848423195,0.6125905582971346,"[[982, 3146], [10, 777]]",0.5512309838477942,0.613,"              precision    recall  f1-score   support

           0       0.99      0.24      0.38      4128
           1       0.20      0.99      0.33       787

    accuracy                           0.36      4915
   macro avg       0.59      0.61      0.36      4915
weighted avg       0.86      0.36      0.38      4915
",TRANSFORMERNN
13,0.5310090599691166,1.0149865452345315,0.3954448205203813,0.3997965412004069,0.6359995087320115,"[[1191, 2937], [13, 774]]",0.5916811846689896,0.64,"              precision    recall  f1-score   support

           0       0.99      0.29      0.45      4128
           1       0.21      0.98      0.34       787

    accuracy                           0.40      4915
   macro avg       0.60      0.64      0.40      4915
weighted avg       0.86      0.40      0.43      4915
",TRANSFORMERNN
14,0.5104151570548614,0.9889767533772952,0.4405303681611755,0.4508646998982706,0.6664016405149572,"[[1442, 2686], [13, 774]]",0.629798857379176,0.667,"              precision    recall  f1-score   support

           0       0.99      0.35      0.52      4128
           1       0.22      0.98      0.36       787

    accuracy                           0.45      4915
   macro avg       0.61      0.67      0.44      4915
weighted avg       0.87      0.45      0.49      4915
",TRANSFORMERNN
15,0.5416510293260217,0.9253473699866951,0.5104115320327891,0.5338758901322482,0.71582024516612,"[[1850, 2278], [13, 774]]",0.6990231150247661,0.72,"              precision    recall  f1-score   support

           0       0.99      0.45      0.62      4128
           1       0.25      0.98      0.40       787

    accuracy                           0.53      4915
   macro avg       0.62      0.72      0.51      4915
weighted avg       0.87      0.53      0.58      4915
",TRANSFORMERNN
16,0.49453160089906306,0.8739052461339282,0.5468366359376122,0.5786368260427264,0.7409249320351053,"[[2073, 2055], [16, 771]]",0.7334021691753664,0.748,"              precision    recall  f1-score   support

           0       0.99      0.50      0.67      4128
           1       0.27      0.98      0.43       787

    accuracy                           0.58      4915
   macro avg       0.63      0.74      0.55      4915
weighted avg       0.88      0.58      0.63      4915
",TRANSFORMERNN
17,0.5007725406657246,0.8470704663883556,0.567177568214235,0.6036622583926755,0.7553089878648188,"[[2197, 1931], [17, 770]]",0.7524503222341569,0.764,"              precision    recall  f1-score   support

           0       0.99      0.53      0.69      4128
           1       0.29      0.98      0.44       787

    accuracy                           0.60      4915
   macro avg       0.64      0.76      0.57      4915
weighted avg       0.88      0.60      0.65      4915
",TRANSFORMERNN
18,0.46055495371421173,0.8497172547625257,0.5757812502488211,0.6140386571719226,0.7620005134304542,"[[2247, 1881], [16, 771]]",0.7614813264985878,0.772,"              precision    recall  f1-score   support

           0       0.99      0.54      0.70      4128
           1       0.29      0.98      0.45       787

    accuracy                           0.61      4915
   macro avg       0.64      0.76      0.58      4915
weighted avg       0.88      0.61      0.66      4915
",TRANSFORMERNN
